Dataset,Features,Algorithm,Silhouette,Davies-Bouldin,Calinski-H,ARI,NMI,Purity
BanglaGITI,Hybrid-Conv-VAE,Agglomerative_Complete,0.2969000041484833,1.4822,5.599999904632568,-0.0007,0.0759,0.2667
BanglaGITI,Hybrid-Conv-VAE,DBSCAN,0.06719999760389328,1.9572,3.5,0.0037,0.1015,0.2754
BanglaGITI,Hybrid-MLP-VAE,KMeans,0.15360000729560852,1.6287,14.399999618530273,0.0167,0.0753,0.3111
BanglaGITI,Hybrid-MLP-VAE,Agglomerative_Ward,0.14980000257492065,1.6375,13.699999809265137,0.026,0.07,0.3333
BanglaGITI,Hybrid-MLP-VAE,Agglomerative_Complete,0.24120000004768372,0.5063,4.099999904632568,0.0003,0.0782,0.2667
BanglaGITI,Hybrid-MLP-VAE,DBSCAN,0.22179999947547913,1.4109,13.699999809265137,0.0083,0.0758,0.3188
BanglaGITI,Beta-VAE,KMeans,0.392300009727478,0.7696,150.89999389648438,-0.013,0.0713,0.3
BanglaGITI,Beta-VAE,Agglomerative_Ward,0.375900000333786,0.7103,131.89999389648438,-0.0057,0.0845,0.3222
BanglaGITI,Beta-VAE,Agglomerative_Complete,0.3865000009536743,0.7041,133.0,-0.0056,0.0885,0.3222
BanglaGITI,Beta-VAE,DBSCAN,0.5541999936103821,0.5069,135.0,0.0134,0.057,0.3067
BanglaGITI,CVAE,KMeans,0.21539999544620514,1.4487,25.899999618530273,0.0008,0.0702,0.3111
BanglaGITI,CVAE,Agglomerative_Ward,0.20329999923706055,1.3208,21.700000762939453,0.0139,0.0891,0.3222
BanglaGITI,CVAE,Agglomerative_Complete,0.20190000534057617,1.2241,18.5,-0.0032,0.0789,0.3
BanglaGITI,CVAE,DBSCAN,0.34220001101493835,1.0383,31.700000762939453,-0.0108,0.1027,0.3485
BanglaGITI,Conv1D-VAE,KMeans,0.08309999853372574,2.3869,7.5,-0.0068,0.0622,0.3
BanglaGITI,Conv1D-VAE,Agglomerative_Ward,0.10589999705553055,2.0488,7.099999904632568,0.0141,0.0996,0.3556
BanglaGITI,Conv1D-VAE,Agglomerative_Complete,0.052400000393390656,2.1185,4.699999809265137,0.0136,0.0719,0.3111
BanglaGITI,Conv1D-VAE,DBSCAN,0.03720000013709068,1.593,3.299999952316284,0.0282,0.1959,0.4058
BanglaGITI,Autoencoder,KMeans,0.17509999871253967,1.6194,12.5,-0.0059,0.0883,0.3222
BanglaGITI,Autoencoder,Agglomerative_Ward,0.1485999971628189,1.6263,12.100000381469727,0.0181,0.0917,0.3333
BanglaGITI,Autoencoder,Agglomerative_Complete,0.1429000049829483,1.5835,8.199999809265137,-0.0005,0.077,0.3111
BanglaGITI,Autoencoder,DBSCAN,0.06530000269412994,1.4386,7.099999904632568,0.0073,0.1225,0.3462
BanglaGITI,MultiModalVAE,KMeans,0.22540000081062317,1.3609,24.200000762939453,0.0023,0.0821,0.3333
BanglaGITI,MultiModalVAE,Agglomerative_Ward,0.17870000004768372,1.4726,20.899999618530273,0.026,0.0962,0.3556
BanglaGITI,MultiModalVAE,Agglomerative_Complete,0.14970000088214874,1.6495,18.799999237060547,-0.0211,0.0482,0.2778
BanglaGITI,MultiModalVAE,DBSCAN,0.03750000149011612,1.3463,10.5,-0.0062,0.0909,0.3377
BanglaGITI,PCA,KMeans,0.10260000079870224,2.0762,8.800000190734863,0.0039,0.0713,0.3222
BanglaGITI,PCA,Agglomerative_Ward,0.07419999688863754,2.3713,8.100000381469727,0.0297,0.115,0.3556
BanglaGITI,PCA,Agglomerative_Complete,0.08060000091791153,1.7085,6.400000095367432,0.0035,0.1048,0.3
BanglaGITI,PCA,DBSCAN,0.08139999955892563,1.7432,5.300000190734863,0.0352,0.2124,0.403
BanglaGITI,Raw-Spectral,KMeans,0.09549999982118607,2.1455,8.199999809265137,0.0033,0.0684,0.3222
BanglaGITI,Raw-Spectral,Agglomerative_Ward,0.09059999883174896,2.1722,7.599999904632568,0.0229,0.1068,0.3556
BanglaGITI,Raw-Spectral,Agglomerative_Complete,0.0794999971985817,2.034,6.699999809265137,0.0052,0.1043,0.3222
BanglaGITI,Raw-Spectral,DBSCAN,0.011099999770522118,2.0352,1.7999999523162842,-0.0024,0.0235,0.2254
BMGCD,MLP-VAE,KMeans,0.24089999496936798,1.3207,25.399999618530273,0.0285,0.1035,0.375
BMGCD,MLP-VAE,Agglomerative_Ward,0.2387000024318695,1.3409,23.899999618530273,0.011,0.0837,0.3646
BMGCD,MLP-VAE,Agglomerative_Complete,0.15889999270439148,1.4127,16.799999237060547,-0.0007,0.0929,0.3021
BMGCD,MLP-VAE,DBSCAN,0.3000999987125397,0.9614,26.799999237060547,0.0664,0.1741,0.4024
BMGCD,Conv2D-VAE,KMeans,0.2069000005722046,1.3723,17.600000381469727,-0.0006,0.0683,0.3021
BMGCD,Conv2D-VAE,Agglomerative_Ward,0.2816999852657318,1.5468,17.299999237060547,0.0053,0.0746,0.2917
BMGCD,Conv2D-VAE,Agglomerative_Complete,0.5192000269889832,0.9911,14.300000190734863,-0.0021,0.0796,0.25
BMGCD,Conv2D-VAE,DBSCAN,,,,,,
BMGCD,Hybrid-Conv-VAE,KMeans,0.20600000023841858,1.1766,23.600000381469727,0.0016,0.0576,0.2917
BMGCD,Hybrid-Conv-VAE,Agglomerative_Ward,0.15889999270439148,1.1873,21.399999618530273,0.0209,0.0912,0.3125
BMGCD,Hybrid-Conv-VAE,Agglomerative_Complete,0.5781000256538391,0.6525,17.799999237060547,-0.0004,0.0756,0.25
BMGCD,Hybrid-Conv-VAE,DBSCAN,0.09380000084638596,1.0247,3.299999952316284,-0.0099,0.0452,0.2712
BMGCD,Hybrid-MLP-VAE,KMeans,0.19169999659061432,1.7508,17.799999237060547,0.0582,0.1277,0.375
BMGCD,Hybrid-MLP-VAE,Agglomerative_Ward,0.1826999932527542,1.9558,16.700000762939453,0.0549,0.1253,0.3646
BMGCD,Hybrid-MLP-VAE,Agglomerative_Complete,0.17579999566078186,1.6424,11.199999809265137,0.0236,0.1008,0.3333
BMGCD,Hybrid-MLP-VAE,DBSCAN,0.2337000072002411,1.1156,16.5,0.0629,0.1679,0.3768
BMGCD,Beta-VAE,KMeans,0.35440000891685486,0.8024,111.30000305175781,0.009,0.0988,0.3229
BMGCD,Beta-VAE,Agglomerative_Ward,0.3095000088214874,0.8771,103.69999694824219,0.0113,0.0686,0.3333
BMGCD,Beta-VAE,Agglomerative_Complete,0.3716999888420105,0.7298,106.0,0.0228,0.1145,0.3438
BMGCD,Beta-VAE,DBSCAN,0.6794000267982483,0.4678,250.10000610351562,0.042,0.0828,0.338
BMGCD,CVAE,KMeans,0.24330000579357147,1.3175,24.399999618530273,0.0156,0.0918,0.3333
BMGCD,CVAE,Agglomerative_Ward,0.2102999985218048,1.3352,22.0,0.0131,0.0665,0.3125
BMGCD,CVAE,Agglomerative_Complete,0.19990000128746033,1.4129,18.899999618530273,0.0103,0.0958,0.3125
BMGCD,CVAE,DBSCAN,0.17970000207424164,1.2558,15.199999809265137,0.0198,0.16,0.3671
BMGCD,Conv1D-VAE,KMeans,0.08799999952316284,2.306,8.5,0.0039,0.0694,0.3125
BMGCD,Conv1D-VAE,Agglomerative_Ward,0.09139999747276306,2.2919,7.699999809265137,0.034,0.1219,0.3646
BMGCD,Conv1D-VAE,Agglomerative_Complete,0.06930000334978104,2.2228,6.199999809265137,0.008,0.0642,0.3125
BMGCD,Conv1D-VAE,DBSCAN,0.0934000015258789,1.9207,5.699999809265137,0.0243,0.1297,0.3684
BMGCD,Autoencoder,KMeans,0.14159999787807465,1.8234,13.0,0.051,0.1319,0.375
BMGCD,Autoencoder,Agglomerative_Ward,0.12269999831914902,1.7465,11.100000381469727,0.021,0.0937,0.3542
BMGCD,Autoencoder,Agglomerative_Complete,0.1251000016927719,1.5185,8.5,0.0086,0.0959,0.3125
BMGCD,Autoencoder,DBSCAN,0.08950000256299973,1.6762,5.900000095367432,0.0219,0.1357,0.3506
BMGCD,MultiModalVAE,KMeans,0.23319999873638153,1.2939,26.299999237060547,0.0299,0.1047,0.3646
BMGCD,MultiModalVAE,Agglomerative_Ward,0.2231999933719635,1.3477,23.600000381469727,0.0136,0.0952,0.3333
BMGCD,MultiModalVAE,Agglomerative_Complete,0.23549999296665192,1.2915,21.399999618530273,0.0619,0.1255,0.375
BMGCD,MultiModalVAE,DBSCAN,0.15399999916553497,1.1896,14.699999809265137,0.0614,0.1924,0.3924
BMGCD,PCA,KMeans,0.06880000233650208,2.4394,8.399999618530273,0.0055,0.0774,0.3125
BMGCD,PCA,Agglomerative_Ward,0.08879999816417694,2.2596,7.900000095367432,0.0771,0.1859,0.4167
BMGCD,PCA,Agglomerative_Complete,0.08900000154972076,2.1073,7.0,0.0217,0.1092,0.3125
BMGCD,PCA,DBSCAN,0.09709999710321426,2.0536,7.400000095367432,0.0029,0.0979,0.3382
BMGCD,Raw-Spectral,KMeans,0.09440000355243683,2.2554,8.399999618530273,0.0093,0.0945,0.3333
BMGCD,Raw-Spectral,Agglomerative_Ward,0.055399999022483826,2.4734,7.300000190734863,0.0815,0.1571,0.3958
BMGCD,Raw-Spectral,Agglomerative_Complete,0.06560000032186508,1.8793,5.5,0.0401,0.0981,0.3229
BMGCD,Raw-Spectral,DBSCAN,0.06560000032186508,1.4005,3.5999999046325684,-0.0036,0.1031,0.2903
